VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.6,142049.0,5101919.51,672819.31,260999.2,68601.68,1290667.91,25.3,0.98,1.34
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.22,160247.0,4819073.49,561512.37,294438.66,144929.24,1015032.27,21.06,0.98,1.27
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.68,187140.0,4538120.6,461140.15,343854.07,123780.22,1119816.92,24.68,1.0,1.33
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94,200412.0,4475972.88,420050.01,368242.8,257032.07,1214774.94,27.14,0.99,1.37
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.01,135838.0,4223107.62,545778.28,249587.83,257032.07,1199901.61,28.41,0.98,1.4
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.93,141860.0,3383912.4,446932.09,111699.19,89286.27,917276.47,27.11,1.02,1.37
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.08,69627.0,2773367.73,614529.34,127931.67,123780.22,596082.65,21.49,0.98,1.27
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.84,148265.0,2592041.35,292586.29,272422.6,257032.07,503706.51,19.43,0.92,1.24
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.55,90481.0,2640491.19,503661.02,166244.44,257032.07,736751.64,27.9,0.99,1.39
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.14,107061.0,2435393.39,426902.78,196707.35,123880.97,661966.25,27.18,0.98,1.37
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205,1530426.1,91247.0,2148965.53,436011.64,71840.57,123780.22,618539.43,28.78,0.98,1.4
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942,1498161.96,61433.0,1840615.67,442856.2,112875.19,257032.07,342453.71,18.61,0.92,1.23
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001,1478001.42,70122.0,2189368.78,495957.83,128839.08,89286.27,711367.36,32.49,1.02,1.48
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668,1460072.36,214238.0,2326007.78,189608.96,24083.77,17587.59,865935.42,37.23,0.99,1.59
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951,1452173.31,41639.0,2009508.61,662320.04,32783.09,68054.7,557335.3,27.73,0.97,1.38
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596,1414552.92,28372.0,1739044.28,507291.43,52133.72,257032.07,324491.36,18.66,0.9,1.23
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645,1399080.15,59771.0,1844950.29,504735.06,109817.07,123780.22,445870.14,24.17,0.99,1.32
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249,1396130.77,65184.0,2068091.16,494487.65,119767.49,257032.07,671960.39,32.49,1.01,1.48
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546,1373128.48,47966.0,1884307.34,596574.93,88129.8,257032.07,511178.86,27.13,1.01,1.37
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078,1317439.48,79042.0,1635666.58,121065.25,145234.95,257032.07,318227.1,19.46,1.0,1.24
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349,1283470.62,56888.0,1766391.12,460087.95,104524.54,89286.27,482920.5,27.34,0.99,1.38
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388,1277758.76,32945.0,1699669.55,589137.79,60533.43,89286.27,421910.79,24.82,0.99,1.33
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936,1208990.72,61323.0,1528730.27,392353.54,112669.45,18544.49,319739.55,20.92,0.99,1.26
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878,1205942.92,58013.0,1736610.87,294049.49,60913.65,89286.27,530667.95,30.56,0.97,1.44
